n,density,avg_time
20,0.2,0.0000181004
20,0.3,0.0000187762
20,0.4,0.0000202195
20,0.5,0.0000225692
20,0.6,0.0000240879
20,0.7,0.0000263491
20,0.8,0.0000343183
20,0.9,0.0000295100
40,0.2,0.0000598387
40,0.3,0.0000711942
40,0.4,0.0000735350
40,0.5,0.0000791283
40,0.6,0.0000838482
40,0.7,0.0000914304
40,0.8,0.0001083461
40,0.9,0.0001062450
60,0.2,0.0001119883
60,0.3,0.0001302792
60,0.4,0.0001509095
60,0.5,0.0001685399
60,0.6,0.0001857099
60,0.7,0.0001946954
60,0.8,0.0002184508
60,0.9,0.0002344866
80,0.2,0.0002103853
80,0.3,0.0002343925
80,0.4,0.0002618034
80,0.5,0.0003006291
80,0.6,0.0003492812
80,0.7,0.0003634917
80,0.8,0.0003943570
80,0.9,0.0004293428
100,0.2,0.0002941724
100,0.3,0.0003793346
100,0.4,0.0004255866
100,0.5,0.0004701221
100,0.6,0.0005094875
100,0.7,0.0005778712
100,0.8,0.0007860174
100,0.9,0.0008244428
120,0.2,0.0003954983
120,0.3,0.0004809495
120,0.4,0.0005553176
120,0.5,0.0006762995
120,0.6,0.0008971866
120,0.7,0.0009070875
120,0.8,0.0010894488
120,0.9,0.0011755892
140,0.2,0.0005553366
140,0.3,0.0006605945
140,0.4,0.0010085959
140,0.5,0.0010758066
140,0.6,0.0012345521
140,0.7,0.0013195987
140,0.8,0.0015603818
140,0.9,0.0015592542
160,0.2,0.0007572871
160,0.3,0.0010772208
160,0.4,0.0010936524
160,0.5,0.0013837771
160,0.6,0.0016256562
160,0.7,0.0015816895
160,0.8,0.0018521704
160,0.9,0.0018834870
180,0.2,0.0009183604
180,0.3,0.0012673008
180,0.4,0.0014323391
180,0.5,0.0016335279
180,0.6,0.0017825855
180,0.7,0.0021382346
180,0.8,0.0021728121
180,0.9,0.0028405237
200,0.2,0.0011840987
200,0.3,0.0014536937
200,0.4,0.0017101808
200,0.5,0.0019422133
200,0.6,0.0022108641
200,0.7,0.0024370187
200,0.8,0.0026757563
200,0.9,0.0028927824
